order,RoomTemp,Humidity,Age,enclosure,Time,location-pink,location-orange,location-green,location-black,location-purple,location-navy,sum,Carton-pink,Carton-orange,Carton-green,Carton-black,Carton-purple,Carton-navy,,
1,23,35,14,5,,50,28.5,28,19.5,37.5,46.5,210,0.4,0.9,0.8,1,0.6,0.5,,
1,23,35,14,6,5:40,3.5,5,3.5,6,1.5,1.5,21,on,off,on,off,on,on,,
1,23,35,14,6,6:10,6,4,2,5,1,3,21,off,on,on,off,on,on,,
1,23,35,14,6,6:40,2,5,1,6,3,4,21,on,off,on,off,on,on,,
1,23,35,14,6,7:10,5,2,6,2,4,2,21,on,on,off,on,on,on,,
1,23,35,14,6,7:40,2,6,1,5,3,4,21,on,on,on,on,on,on,,
1,23,35,14,6,8:10,6,4,2.5,1,5,2.5,21,off,on,on,on,on,on,,
1,23,35,14,6,8:40,1,6,5,3,4,2,21,on,off,on,on,on,on,,
1,23,35,14,6,0:20,2,6,5,3,1,4,21,on,off,off,on,on,on,,
1,23,35,14,6,0:50,4.5,6,1,2,3,4.5,21,on,off,on,on,on,on,,
1,23,35,14,6,1:20,3,1.5,6,1.5,4,5,21,on,on,on,on,on,on,,
1,23,35,14,6,,35,45.5,33,34.5,29.5,32.5,210,0.8,0.5,0.8,0.7,1,1,,
1,24,33,16,1,5:28,1,5,4,3,2,6,21,on,on,on,on,on,off,,
1,24,33,16,1,5:58,5,4,1,2,6,3,21,on,off,on,on,off,on,,
1,24,33,16,1,6:28,5,1,4,6,2,3,21,on,on,on,on,off,on,,
1,24,33,16,1,6:58,5,1,4,6,2,3,21,on,on,off,off,on,off,,
1,24,33,16,1,7:28,2,1,5,6,3.5,3.5,21,on,on,on,off,on,on,,
1,24,33,16,1,7:58,1,4.5,2,4.5,3,6,21,on,on,on,on,on,off,,
1,24,33,16,1,8:28,1,2.5,2.5,5,5,5,21,on,on,on,off,off,off,,
1,24,33,16,1,0:07,2,2,2,6,5,4,21,on,on,on,off,on,on,,
1,24,33,16,1,0:41,2,6,3,4,1,5,21,on,off,on,off,on,off,,
1,24,33,16,1,1:11,6,4,2,4,4,1,21,off,on,on,on,off,on,,
1,24,33,16,1,,30,31,29.5,46.5,33.5,39.5,210,0.9,0.8,0.9,0.5,0.6,0.5,,
1,24,33,16,2,5:30,2,3.5,6,3.5,1,5,21,on,on,on,on,on,on,,
1,24,33,16,2,6:00,6,2,1,5,3,4,21,off,on,on,on,on,on,,
1,24,33,16,2,6:30,3,4,1,5,2,6,21,on,on,on,on,on,off,,
1,24,33,16,2,7:00,3.5,3.5,1,6,5,2,21,on,on,on,off,on,on,,
1,24,33,16,2,7:30,2,6,4.5,1,4.5,3,21,on,off,on,on,on,on,,
1,24,33,16,2,8:00,4,1,2,6,3,5,21,off,on,on,off,on,off,,
1,24,33,16,2,8:30,1,4,3,6,5,2,21,on,on,on,off,on,on,,
1,24,33,16,2,0:10,4,5,1.5,3,6,1.5,21,on,off,on,on,off,on,,
1,24,33,16,2,0:40,2,6,5,3,1,4,21,on,off,off,on,on,off,,
1,24,33,16,2,1:10,4.5,3,2,6,4.5,1,21,off,on,on,off,off,on,,
1,24,33,16,2,,32,38,27,44.5,35,33.5,210,0.7,0.7,0.9,0.6,0.8,0.7,,
1,24,33,16,3,5:40,3.5,1.5,6,3.5,1.5,5,21,on,on,off,on,on,on,,
1,24,33,16,3,6:10,4,1.5,3,1.5,6,5,21,on,on,on,on,off,off,,
1,24,33,16,3,6:40,2,5.5,5.5,1,3,4,21,on,off,off,on,on,on,,
1,24,33,16,3,7:10,6,1.5,4,5,3,1.5,21,on,on,on,on,on,on,,
1,24,33,16,3,7:40,1.5,5,3,4,6,1.5,21,on,on,on,on,off,on,,
1,24,33,16,3,8:10,5.5,2.5,1,2.5,4,5.5,21,off,on,on,on,on,off,,
1,24,33,16,3,8:40,3,1.5,4,6,5,1.5,21,on,on,on,off,on,on,,
1,24,33,16,3,0:20,1.5,5,3,6,4,1.5,21,on,off,on,off,on,on,,
1,24,33,16,3,0:50,2,4,5,1,6,3,21,on,on,off,on,off,on,,
1,24,33,16,3,1:20,1,2,3.5,6,3.5,5,21,on,on,on,off,on,on,,
